Joueur,Adversaire,Nombre de rencontres,Nombre de victoires,% Victoire,Nombre de rencontres (hard),Nombre de victoires (hard),% Victoire (hard),Nombre de rencontres (clay),Nombre de victoires (clay),% Victoire (clay),Nombre de rencontres (grass),Nombre de victoires (grass),% Victoire (grass),Nombre de rencontres (various),Nombre de victoires (various),% Victoire (various),player_key,Rang,player_bday,Nombre titres total,Victoire totale,Victoire Hard,Victoire Clay,Victoire Grass,Age,% victoire général,% victoire hard,% victoire clay,% victoire grass,matches_won_top100,% victoire contre top 100
I. Ivashka,D. Evans,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,48.0,24.02.1994,6.0,267.0,200.0,45.0,22.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
I. Ivashka,B. Van De Zandschulp,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,48.0,24.02.1994,6.0,267.0,200.0,45.0,22.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
A. Ayeni,A. Celikbilek,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2481.0,432.0,10.08.1999,1.0,112.0,100.0,9.0,3.0,24.0,41.66666666666667,0.0,43.47826086956522,0.0,0.0,0.0
T. Korpatsch,V. Tomova,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0,74.0,12.05.1995,7.0,196.0,58.0,127.0,11.0,29.0,33.33333333333333,0.0,37.5,0.0,0.0,0.0
T. Korpatsch,M. Andreeva,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0,74.0,12.05.1995,7.0,196.0,58.0,127.0,11.0,29.0,33.33333333333333,0.0,37.5,0.0,0.0,0.0
T. Korpatsch,M. Timofeeva,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0,74.0,12.05.1995,7.0,196.0,58.0,127.0,11.0,29.0,33.33333333333333,0.0,37.5,0.0,0.0,0.0
Y. Shimizu,F. Comesana,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,178.0,09.06.1999,18.0,242.0,220.0,17.0,4.0,25.0,38.88888888888889,43.75,0.0,0.0,78.0,32.231404958677686
Y. Shimizu,J. Draper,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,178.0,09.06.1999,18.0,242.0,220.0,17.0,4.0,25.0,38.88888888888889,43.75,0.0,0.0,78.0,32.231404958677686
S. Park,B. Haddad Maia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,205.0,240.0,02.07.2002,9.0,203.0,104.0,89.0,4.0,21.0,44.44444444444444,0.0,50.0,0.0,0.0,0.0
D. Dzumhur,A. Rublev,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1079.0,30.0,20.05.1992,21.0,522.0,257.0,247.0,14.0,32.0,50.0,0.0,50.0,0.0,0.0,0.0
