player_key,player_name,player_country,player_bday,player_logo,season,type,rank,titles,matches_won,matches_lost,hard_won,hard_lost,clay_won,clay_lost,grass_won,grass_lost
12,L. Salvi,Italy,01.01.1970,,2020,singles,,0,0,1,0,1,,,,
12,L. Salvi,Italy,01.01.1970,,2023,doubles,1191,0,2,6,0,2,2,4,,
12,L. Salvi,Italy,01.01.1970,,2023,singles,1238,0,3,6,0,2,3,4,,
14,I. Sebestova,Czech Republic,04.03.2001,,2022,doubles,568,3,24,19,12,9,12,10,,
14,I. Sebestova,Czech Republic,04.03.2001,,2021,doubles,1527,0,1,10,1,6,0,4,,
14,I. Sebestova,Czech Republic,04.03.2001,,2020,doubles,1388,0,0,1,,,0,1,,
14,I. Sebestova,Czech Republic,04.03.2001,,2022,singles,684,1,18,19,6,10,12,9,,
14,I. Sebestova,Czech Republic,04.03.2001,,2021,singles,1015,0,6,9,4,4,2,5,,
14,I. Sebestova,Czech Republic,04.03.2001,,2020,singles,1222,0,0,1,,,0,1,,
14,I. Sebestova,Czech Republic,04.03.2001,,2023,doubles,471,1,17,20,3,2,14,18,,
14,I. Sebestova,Czech Republic,04.03.2001,,2023,singles,577,0,9,19,1,3,8,16,,
14,I. Sebestova,Czech Republic,04.03.2001,,2024,doubles,459,2,11,6,2,3,9,3,,
14,I. Sebestova,Czech Republic,04.03.2001,,2024,singles,630,0,7,9,3,4,4,5,,
15,M. E. Poulka,Greece,01.01.1970,,2023,doubles,,0,0,4,,,0,4,,
15,M. E. Poulka,Greece,01.01.1970,,2022,doubles,,0,0,7,0,1,0,6,,
15,M. E. Poulka,Greece,01.01.1970,,2023,singles,,0,0,2,,,0,2,,
15,M. E. Poulka,Greece,01.01.1970,,2022,singles,,0,0,4,,,0,4,,
15,M. E. Poulka,Greece,01.01.1970,,2024,singles,,0,0,1,,,0,1,,
16,D. Shalamanova,Bulgaria,03.12.2002,,2022,doubles,1047,0,5,10,1,3,4,7,,
16,D. Shalamanova,Bulgaria,03.12.2002,,2021,doubles,1723,0,3,6,1,2,2,4,,
16,D. Shalamanova,Bulgaria,03.12.2002,,2020,doubles,,0,0,1,,,0,1,,
16,D. Shalamanova,Bulgaria,03.12.2002,,2022,singles,752,0,12,9,3,2,9,7,,
16,D. Shalamanova,Bulgaria,03.12.2002,,2021,singles,1319,0,2,7,0,3,2,4,,
16,D. Shalamanova,Bulgaria,03.12.2002,,2020,singles,,0,0,2,,,0,2,,
16,D. Shalamanova,Bulgaria,03.12.2002,,2023,singles,770,0,1,3,0,1,1,2,,
17,F. Dell&apos;edera,Italy,28.06.1996,,2022,doubles,,0,1,7,0,1,1,6,,
17,F. Dell&apos;edera,Italy,28.06.1996,,2021,doubles,1491,0,3,8,1,5,2,3,,
17,F. Dell&apos;edera,Italy,28.06.1996,,2020,doubles,1352,0,2,4,2,4,,,,
17,F. Dell&apos;edera,Italy,28.06.1996,,2022,singles,,0,1,8,0,1,1,7,,
17,F. Dell&apos;edera,Italy,28.06.1996,,2021,singles,,0,0,1,,,0,1,,
17,F. Dell&apos;edera,Italy,28.06.1996,,2020,singles,,0,0,2,0,2,,,,
17,F. Dell&apos;edera,Italy,28.06.1996,,2023,singles,,0,0,2,0,1,0,1,,
18,E. Christofi,Greece,09.08.1998,,2022,doubles,445,2,37,20,8,4,27,15,,
18,E. Christofi,Greece,09.08.1998,,2021,doubles,1030,2,12,2,0,0,12,2,,
18,E. Christofi,Greece,09.08.1998,,2020,doubles,,0,1,2,,,1,2,,
18,E. Christofi,Greece,09.08.1998,,2016,doubles,,0,4,2,,,2,1,2,1
