id_match,bookmaker,cote_Home,cote_Away
11950161,Betsson,6.60,1.11
11950161,Pncl,7.18,1.13
11950161,Sbo,4.84,1.10
11950161,1xbet,5.21,1.17
11950161,Betano,6.10,1.13
11950161,Betway,6.00,1.12
11950161,Tipico,6.50,1.10
11950161,Betcris,6.20,1.11
11950163,NordicBet,1.32,3.40
11950163,10Bet,1.28,3.40
11950163,bet365,1.28,3.75
11950163,Marathon,1.28,3.70
11950163,Unibet,1.30,3.60
11950163,Betfair,1.31,4.00
11950163,Betsson,1.32,3.40
11950163,Pncl,1.31,3.81
11950163,Sbo,1.28,3.27
11950163,1xbet,1.29,3.66
11950163,Betano,1.29,3.65
11950163,Betway,1.30,3.50
11950163,Tipico,1.27,3.70
11950163,Betcris,1.28,3.60
11950165,NordicBet,4.20,1.22
11950165,10Bet,4.50,1.18
11950165,bet365,4.50,1.20
11950165,Marathon,6.20,1.12
11950165,Unibet,4.75,1.20
11950165,Betfair,4.50,1.20
11950165,Betsson,4.20,1.22
11950165,Pncl,4.68,1.23
11950165,1xbet,6.30,1.12
11950165,Betway,5.00,1.17
11950165,Tipico,4.40,1.20
11950165,Betcris,4.10,1.17
11950167,NordicBet,2.45,1.55
11950167,10Bet,2.35,1.55
11950167,bet365,2.37,1.57
11950167,Marathon,2.41,1.57
11950167,Unibet,2.43,1.56
11950167,Betfair,2.58,1.62
11950167,Betsson,2.45,1.55
11950167,188bet,2.39,1.56
11950167,Pncl,2.53,1.59
11950167,Sbo,2.36,1.55
11950167,1xbet,2.38,1.59
11950167,Betano,2.40,1.57
11950167,Betway,2.40,1.55
11950167,Tipico,2.40,1.55
11950167,Betcris,2.37,1.57
11950169,NordicBet,2.45,1.55
11950169,10Bet,2.35,1.55
11950169,bet365,2.50,1.53
11950169,Marathon,2.39,1.58
11950169,Unibet,2.30,1.62
11950169,Betfair,2.62,1.60
11950169,Betsson,2.45,1.55
11950169,Pncl,2.52,1.60
11950169,Sbo,2.29,1.57
11950169,1xbet,2.36,1.60
11950169,Betano,2.45,1.55
11950169,Betway,2.40,1.55
11950169,Tipico,2.40,1.55
11950169,Betcris,2.40,1.55
11950175,NordicBet,1.06,11.00
11950175,10Bet,1.04,9.00
11950175,bet365,1.04,13.00
11950175,Marathon,1.03,12.25
11950175,Unibet,1.05,10.50
11950175,Betfair,1.06,14.50
11950175,Betsson,1.06,11.00
11950175,Pncl,1.06,13.40
11950175,1xbet,1.03,13.00
11950175,Betano,1.03,13.00
11950175,Betway,1.03,12.00
11950175,Tipico,1.02,12.00
11950175,Betcris,1.04,10.00
11950179,NordicBet,1.58,2.40
11950179,10Bet,1.57,2.30
11950179,bet365,1.61,2.30
11950179,Marathon,1.64,2.26
11950179,Unibet,1.67,2.20
11950179,Betfair,1.66,2.46
11950179,Betsson,1.58,2.40
11950179,Pncl,1.62,2.45
11950179,Sbo,1.60,2.25
11950179,1xbet,1.66,2.24
11950179,Betano,1.60,2.35
11950179,Betway,1.60,2.30
11950179,Tipico,1.57,2.35
11950179,Betcris,1.62,2.26
11950181,NordicBet,1.52,2.50
11950181,10Bet,1.50,2.50
11950181,bet365,1.53,2.50
11950181,Marathon,1.52,2.54
11950181,Unibet,1.53,2.50
11950181,Betfair,1.58,2.72
11950181,Betsson,1.52,2.50
11950181,Pncl,1.55,2.63
11950181,Sbo,1.53,2.40
11950181,1xbet,1.54,2.50
11950181,Betano,1.53,2.52
11950181,Betway,1.50,2.60
11950181,Tipico,1.50,2.55
11950181,Betcris,1.53,2.47
11950182,NordicBet,1.40,3.00
11950182,10Bet,1.38,2.90
11950182,bet365,1.36,3.20
11950182,Marathon,1.37,3.10
11950182,Unibet,1.35,3.20
11950182,Betfair,1.46,3.10
11950182,Betsson,1.40,3.00
11950182,188bet,1.34,3.20
11950182,Pncl,1.42,3.11
11950182,Sbo,1.40,2.72
11950182,1xbet,1.38,3.08
11950182,Betano,1.36,3.15
11950182,Betway,1.38,3.00
11950182,Tipico,1.33,3.20
11950182,Betcris,1.35,3.15
11950463,NordicBet,1.25,4.00
11950463,10Bet,1.22,4.00
11950463,bet365,1.20,4.50
11950463,Marathon,1.23,4.20
11950463,Unibet,1.21,4.50
11950463,Betfair,1.26,4.70
11950463,Betsson,1.25,4.00
11950463,Pncl,1.26,4.26
11950463,Sbo,1.22,3.63
11950463,1xbet,1.24,4.14
11950463,Betano,1.21,4.45
11950463,Betway,1.22,4.25
11950463,Tipico,1.22,4.10
11950463,Betcris,1.20,4.40
11950465,NordicBet,1.04,14.00
11950465,10Bet,1.04,9.00
11950465,bet365,1.04,13.00
11950465,Marathon,1.03,12.25
11950465,Unibet,1.05,11.50
11950465,Betfair,1.07,15.00
11950465,Betsson,1.04,14.00
11950465,Pncl,1.05,14.96
11950465,1xbet,1.03,13.00
11950465,Betano,1.04,11.25
11950465,Betway,1.03,12.00
11950465,Tipico,1.02,12.00
11950465,Betcris,1.03,11.00
11950467,NordicBet,1.25,4.00
11950467,10Bet,1.25,3.75
11950467,bet365,1.28,3.75
11950467,Marathon,1.27,3.78
11950467,Unibet,1.28,3.70
11950467,Betfair,1.30,4.20
11950467,Betsson,1.25,4.00
11950467,Pncl,1.27,4.08
11950467,Sbo,1.26,3.38
11950467,1xbet,1.28,3.74
