event_key,score_first,score_second,score_set
126946,5,7,1
126946,7,5,2
126946,6,4,3
126947,4,6,1
126947,4,6,2
126948,3,6,1
126948,3,6,2
126949,3,6,1
126949,6.4,7.7,2
126950,4,6,1
126950,7,5,2
126950,6,4,3
126951,6,4,1
126952,1,6,1
126952,6,3,2
126952,6,4,3
11707228,6.7,7.9,1
11707228,6.6,7.8,2
11707229,2,6,1
11707229,3,6,2
4446,6,4,1
4446,4,6,2
4446,6.0,7.10,3
11707230,6,2,1
11707230,6,3,2
4447,6.7,7.9,1
4447,6,4,2
4447,4,6,3
11707231,7,5,1
11707231,6,4,2
4448,6,1,1
4448,7,5,2
11707232,3,6,1
11707232,2,6,2
4449,4,6,1
4449,2,6,2
11707233,6,2,1
11707233,6,3,2
4450,5,7,1
4450,6.2,7.7,2
11707234,6.4,7.7,1
11707234,7.7,6.3,2
11707234,6,3,3
4451,6.3,7.7,1
4451,4,6,2
4452,6,4,1
4452,6,2,2
4453,6.2,7.7,1
4453,6.8,7.10,2
4454,3,6,1
4454,3,6,2
4455,6,3,1
4455,7.7,6.4,2
4456,4,6,1
4456,1,2,2
4457,5,7,1
4457,4,6,2
4458,7,5,1
4458,5,7,2
4458,6,3,3
4459,6,2,1
4459,7,5,2
4460,3,6,1
4460,6,3,2
4460,7.12,6.10,3
4461,6.5,7.7,1
4461,6,4,2
4461,5,7,3
4462,4,6,1
4462,6.1,7.7,2
4463,2,6,1
4463,6.8,7.10,2
4464,6,3,1
4464,4,6,3
4465,6,1,1
4465,2,6,2
4465,6,2,3
4466,5,7,1
4466,4,6,2
4467,7.10,6.8,1
4467,7.7,6.3,2
4468,3,6,1
4468,5,7,2
4469,6,4,1
4469,6,2,2
126953,5,7,1
126953,6,3,2
126953,6,2,3
126954,6.6,7.8,1
126954,2,6,2
126955,6,4,1
126955,7.8,6.6,2
126956,7,5,1
126956,6,3,2
126957,6,4,1
126957,7,5,2
126958,6.5,7.7,1
126958,7.7,6.5,2
126958,7.7,6.4,3
126959,7.7,6.2,1
126959,3,6,2
126960,6,2,1
126960,6,2,2
11707235,6,3,1
11707235,6,4,2
11707236,6,2,1
11707236,3,6,2
11707236,6,2,3
11707237,6.4,7.7,1
11707237,2,6,2
11707238,2,6,1
11707239,6,4,1
11707239,7.7,6.5,2
4470,1,6,1
4470,2,6,2
4471,1,6,1
4471,3,6,2
4472,5,7,1
4472,6.5,7.7,2
4473,6,3,1
4473,6,1,2
4474,6,4,1
4474,1,6,2
4474,6,1,3
4475,3,6,2
4475,7.10,6.6,3
4476,3,6,1
4476,6,4,2
4476,6,4,3
4477,6.2,7.7,1
4477,2,6,2
126961,6.7,7.9,1
126961,5,7,2
126962,4,6,1
126962,6,2,2
126962,3,6,3
126963,4,6,1
126963,4,6,2
126964,7.7,6.5,1
126964,3,6,2
126964,2,6,3
4621,6,4,1
4621,6,1,2
4622,4,6,1
4622,6.5,7.7,2
4623,6,1,1
4623,6,2,2
4624,6,4,1
4624,3,6,2
4624,3,6,3
4625,5,7,1
4625,4,6,2
4626,6,4,1
4626,6,4,2
4627,6,4,1
4627,5,7,2
4627,7,5,3
4628,6,2,1
4628,2,6,2
4628,7,5,3
4629,2,6,1
4629,3,6,2
4630,5,7,1
4630,6,4,2
4630,3,6,3
4631,7.8,6.6,1
4631,7.7,6.3,2
4632,6,3,1
4632,6,2,2
4633,7.7,6.3,1
4633,7.8,6.6,2
4634,6.3,7.7,1
4634,7.7,6.5,2
4634,7.10,6.8,3
4635,6,4,1
4635,6,3,2
4636,4,6,1
4636,7.7,6.2,2
4636,6,2,3
11707240,7.8,6.6,1
11707240,4,6,2
11707240,4,6,3
11707241,6,3,1
11707241,6.13,7.15,2
11707241,6,3,3
126965,1,6,1
126965,3,6,2
126966,2,6,1
126966,6,3,2
126966,6.10,7.12,3
11707242,6,3,1
11707242,6,3,2
126967,7.8,6.6,1
126967,6.5,7.7,2
126967,3,6,3
4574,6.6,7.8,1
4574,4,6,2
4574,4,6,3
4575,2,6,1
4575,3,6,2
4575,6,3,3
4575,6.6,7.8,4
4576,6,4,1
4576,6,2,2
4577,1,6,1
4577,6,3,2
4577,1,6,3
4577,6.5,7.7,4
4579,4,6,1
4579,6.6,7.8,2
4579,1,6,4
4580,4,6,1
4580,3,6,2
4580,6.5,7.7,3
4581,6,1,1
4581,6,3,3
4582,6.4,7.7,1
4582,7.7,6.4,2
4582,6.5,7.7,3
4582,6.4,7.7,4
4583,4,6,1
4583,4,6,2
4583,2,6,3
4584,6.1,7.7,1
4584,7.7,6.5,2
4584,3,6,3
4584,4,6,4
4585,4,6,1
4585,4,6,2
4585,7.7,6.4,3
4585,6.2,7.7,4
4586,4,6,1
4586,4,6,2
4586,4,6,3
4587,6,4,1
4588,6.1,7.7,1
4588,4,6,2
4588,6,4,3
4588,2,6,4
4589,2,6,1
4589,4,6,2
4589,3,6,3
4590,6,4,1
4590,6.8,7.10,2
4590,6,2,3
4590,7,5,4
4591,7.7,6.4,1
4591,6,1,2
4591,6,3,3
4592,2,6,1
4592,6.3,7.7,2
4592,6,4,3
4592,6,2,4
4592,6.5,7.10,5
4593,6.4,7.7,1
4593,6,4,2
4593,3,6,3
4593,4,6,4
4594,4,6,1
4594,5,7,2
4594,7.8,6.6,3
4594,3,6,4
4595,6,3,1
4595,6,4,2
4595,6,4,3
4596,3,6,1
4596,2,6,2
4596,6,3,3
4596,1,6,4
4597,7.7,6.4,1
4597,6.4,7.7,2
4597,7,5,3
4597,6,4,4
4608,5,7,1
4608,6.4,7.7,2
4608,3,6,3
4609,5,7,1
4609,6.4,7.7,2
4609,4,6,3
4606,6.14,7.16,1
4606,2,6,2
4606,2,6,3
4607,3,6,1
4607,6.5,7.7,2
4607,3,6,3
4614,3,6,1
4614,4,6,2
4614,6,4,3
4614,6,3,4
4614,3,6,5
4615,4,6,1
4615,4,6,2
4615,6,3,3
4615,6,3,4
4615,2,6,5
4618,3,6,1
4618,2,6,2
4618,6,3,3
4618,3,6,4
4619,6.5,7.7,1
4619,6,4,2
4619,4,6,3
4619,1,6,4
2731899,7.7,6.5,1
2731899,6,2,2
2731900,3,6,1
2731900,2,6,2
2731901,6,1,1
2731901,6,3,2
2731902,4,6,1
2731902,6.6,7.8,2
2731903,2,6,1
2731903,6,3,2
2731903,6,1,3
2731904,6,4,1
2731904,6,3,2
2731905,6,2,1
2731905,6,2,2
2731906,7,5,1
2731906,6,3,2
4620,2,6,1
4620,6.5,7.7,2
4620,6,4,3
4620,6,4,4
4620,7,5,5
2731907,6,4,1
2731907,6,1,2
2731908,4,6,1
2731908,7.7,6.3,2
2731908,5,7,3
2731909,3,6,1
2731909,7.7,6.5,2
2731909,5,7,3
2731910,6,3,1
2731910,6,4,2
58044,7,5,1
58044,6,4,2
58045,2,6,1
58045,3,6,2
58046,6,3,1
58046,6,4,2
58047,6,3,1
58047,6,3,2
58048,7,5,1
58048,5,7,2
58048,6,1,3
58049,6,3,1
58049,1,6,2
58049,6.7,7.9,3
58050,6,4,1
58050,6.5,7.7,2
58050,6.2,7.7,3
58051,1,6,1
58051,3,6,2
2687213,1,6,1
2687213,1,6,2
2687214,2,6,1
2687214,6,1,2
2687214,3,6,3
