event_key,event_date,event_time,event_first_player,first_player_key,event_first_player_logo,event_second_player,second_player_key,event_second_player_logo,event_final_result,event_game_result,event_winner,event_status,event_type_type,tournament_name,tournament_key,tournament_round,tournament_season,event_live
11903476,2023-10-12,11:45,O. Jabeur,1911,https://api.api-tennis.com/logo-tennis/1911_o-jabeur.jpg,L. Bronzetti,516,https://api.api-tennis.com/logo-tennis/516_l-bronzetti.jpg,2 - 0,-,First Player,Finished,Wta Singles,WTA Zhengzhou,3163,WTA Zhengzhou - 1/8-finals,2023,0
11904028,2023-10-12,09:10,F. Marozsan,10148,https://api.api-tennis.com/logo-tennis/10148_f-marozsan.jpg,H. Hurkacz,2841,https://api.api-tennis.com/logo-tennis/2841_h-hurkacz.jpg,1 - 2,-,Second Player,Finished,Atp Singles,ATP Shanghai,1667,ATP Shanghai - Quarter-finals,2023,0
11903822,2023-10-12,12:40,B. Shelton,2973,,S. Korda,2840,https://api.api-tennis.com/logo-tennis/2840_s-korda.jpg,1 - 2,-,Second Player,Finished,Atp Singles,ATP Shanghai,1667,ATP Shanghai - Quarter-finals,2023,0
11904258,2023-10-13,13:00,A. Kalinina,2393,https://api.api-tennis.com/logo-tennis/2393_a-kalinina.jpg,Q. Zheng,1813,,0 - 2,-,Second Player,Finished,Wta Singles,WTA Zhengzhou,3163,WTA Zhengzhou - Quarter-finals,2023,0
11904101,2023-10-13,13:25,Y. Wickmayer,74,https://api.api-tennis.com/logo-tennis/74_y-wickmayer.jpg,P. Kudermetova,9259,https://api.api-tennis.com/logo-tennis/9259_p-kudermetova.jpg,2 - 0,-,First Player,Finished,Wta Singles,WTA Seoul,1222,WTA Seoul - Quarter-finals,2023,0
11904392,2023-10-13,10:20,Y. Yuan,1112,https://api.api-tennis.com/logo-tennis/1112_y-yuan.jpg,M. Bouzkova,2820,https://api.api-tennis.com/logo-tennis/2820_m-bouzkova.jpg,2 - 0,-,First Player,Finished,Wta Singles,WTA Seoul,1222,WTA Seoul - Quarter-finals,2023,0
11904402,2023-10-13,05:10,E. Bektas,1796,,K. Birrell,92,,2 - 1,-,First Player,Finished,Wta Singles,WTA Seoul,1222,WTA Seoul - Quarter-finals,2023,0
11904407,2023-10-13,07:35,J. Pegula,2171,https://api.api-tennis.com/logo-tennis/2171_j-pegula.jpg,C. Liu,509,https://api.api-tennis.com/logo-tennis/509_c-liu.jpg,2 - 1,-,First Player,Finished,Wta Singles,WTA Seoul,1222,WTA Seoul - Quarter-finals,2023,0
11904408,2023-10-13,08:10,S. Sorribes Tormo,2910,https://api.api-tennis.com/logo-tennis/2910_s-sorribes-tormo.jpg,A. Blinkova,1779,https://api.api-tennis.com/logo-tennis/1779_a-blinkova.jpg,0 - 2,-,Second Player,Finished,Wta Singles,WTA Hong Kong,2241,WTA Hong Kong - Quarter-finals,2023,0
11904409,2023-10-13,10:55,L. Siegemund,464,https://api.api-tennis.com/logo-tennis/464_l-siegemund.jpg,J. Paolini,2811,https://api.api-tennis.com/logo-tennis/2811_j-paolini.jpg,0 - 2,-,Second Player,Finished,Wta Singles,WTA Zhengzhou,3163,WTA Zhengzhou - Quarter-finals,2023,0
