point_id,number_point,score,break_point,set_point,match_point
69605,1,0 - 15,,,
69606,2,0 - 30,,,
69607,3,0 - 40,First Play,,
69608,1,15 - 0,,,
69609,2,30 - 0,,,
69610,3,40 - 0,First Play,,
69611,4,40 - 15,First Play,,
69612,1,15 - 0,,,
69613,2,30 - 0,,,
69614,3,30 - 15,,,
69615,4,30 - 30,,,
69616,5,40 - 30,,,
69617,6,40 - 40,,,
69618,7,A - 40,,,
69619,1,0 - 15,,,
69620,2,15 - 15,,,
69621,3,30 - 15,,,
69622,4,40 - 15,First Play,,
69623,1,0 - 15,,,
69624,2,15 - 15,,,
69625,3,30 - 15,,,
69626,4,40 - 15,,,
69627,5,40 - 30,,,
69628,1,15 - 0,,,
69629,2,15 - 15,,,
69630,3,15 - 30,,,
69631,4,15 - 40,,,
69632,1,15 - 0,,,
69633,2,15 - 15,,,
69634,3,15 - 30,,,
69635,4,15 - 40,First Play,,
69636,5,30 - 40,First Play,,
69637,1,15 - 0,,,
69638,2,30 - 0,,,
69639,3,40 - 0,First Play,,
69640,4,40 - 15,First Play,,
69641,5,40 - 30,First Play,,
69642,1,15 - 0,,,
69643,2,15 - 15,,,
69644,3,30 - 15,,,
69645,4,30 - 30,,,
69646,5,40 - 30,,,
69647,1,15 - 0,,,
69648,2,15 - 15,,,
69649,3,15 - 30,,,
69650,4,15 - 40,,,
69651,5,30 - 40,,,
69652,6,40 - 40,,,
69653,7,A - 40,First Play,,
69654,1,0 - 15,,,
69655,2,15 - 15,,,
69656,3,15 - 30,,,
69657,4,30 - 30,,,
69658,5,40 - 30,,,
69659,1,0 - 15,,,
69660,2,0 - 30,,,
69661,3,15 - 30,,,
69662,4,30 - 30,,,
69663,5,30 - 40,,,
69664,6,40 - 40,,,
69665,7,A - 40,First Play,,
69666,8,40 - 40,,,
69667,9,40 - A,,,
69668,10,40 - 40,,,
69669,11,40 - A,,,
69670,12,40 - 40,,,
69671,13,A - 40,First Play,,
69672,1,0 - 15,,,
69673,2,0 - 30,,,
69674,3,15 - 30,,,
69675,4,15 - 40,First Play,,
69676,1,15 - 0,,,
69677,2,15 - 15,,,
69678,3,15 - 30,,,
69679,4,30 - 30,,,
69680,5,30 - 40,,,
69681,1,15 - 0,,,
69682,2,30 - 0,,,
69683,3,40 - 0,,,
69684,4,40 - 15,,,
69685,5,40 - 30,,,
69686,1,15 - 0,,,
69687,2,30 - 0,,,
69688,3,30 - 15,,,
69689,4,30 - 30,,,
69690,5,30 - 40,,,
69691,6,40 - 40,,,
69692,7,40 - A,,,
69693,1,15 - 0,,,
69694,2,15 - 15,,,
69695,3,30 - 15,,,
69696,4,40 - 15,,,
69697,5,40 - 30,,,
69698,1,0 - 15,,,
69699,2,15 - 15,,,
69700,3,15 - 30,,,
69701,4,30 - 30,,,
69702,5,30 - 40,,,
69703,1,0 - 15,,,
69704,2,15 - 15,,,
69705,3,30 - 15,,,
69706,4,40 - 15,,,
69707,1,0 - 15,,,
69708,2,0 - 30,,,
69709,3,0 - 40,,,
69710,1,15 - 0,,,
69711,2,30 - 0,,,
69712,3,30 - 15,,,
69713,4,40 - 15,,,
69714,5,40 - 30,,,
69715,6,40 - 40,,,
69716,7,A - 40,,,
69717,8,40 - 40,,,
69718,9,A - 40,,,
69719,1,0 - 15,,,
69720,2,15 - 15,,,
69721,3,15 - 30,,,
69722,4,15 - 40,,,
69723,1,15 - 0,,,
69724,2,15 - 15,,,
69725,3,30 - 15,,,
69726,4,30 - 30,,,
69727,5,30 - 40,First Play,,
69728,6,40 - 40,,,
69729,7,A - 40,,,
69730,1,15 - 0,,,
69731,2,15 - 15,,,
69732,3,15 - 30,,,
69733,4,30 - 30,,,
69734,5,40 - 30,First Play,,
69735,1,0 - 15,,,
69736,2,15 - 15,,,
69737,3,30 - 15,,,
69738,4,30 - 30,,,
69739,5,30 - 40,First Play,,
69740,6,40 - 40,,,
69741,7,A - 40,,,
69742,1,0 - 15,,,
69743,2,15 - 15,,,
69744,3,30 - 15,,,
69745,4,40 - 15,First Play,,
69746,5,40 - 30,First Play,,
69747,6,40 - 40,,,
69748,7,40 - A,,,
69749,8,40 - 40,,,
69750,9,40 - A,,,
69751,1,15 - 0,,,
69752,2,30 - 0,,,
69753,3,30 - 15,,,
69754,4,40 - 15,,,
69755,5,40 - 30,,,
69756,1,15 - 0,,,
69757,2,15 - 15,,,
69758,3,15 - 30,,,
69759,4,30 - 30,,,
69760,5,30 - 40,,,
69761,1,15 - 0,,,
69762,2,15 - 15,,,
69763,3,15 - 30,,,
69764,4,30 - 30,,,
69765,5,40 - 30,,,
69766,6,40 - 40,,,
69767,7,40 - A,First Play,,
69768,8,40 - 40,,,
69769,9,A - 40,,,
69770,10,40 - 40,,,
69771,11,40 - A,First Play,,
69772,1,15 - 0,,,
69773,2,30 - 0,,,
69774,3,30 - 15,,,
69775,4,40 - 15,First Play,,
69776,1,0 - 15,,,
69777,2,0 - 30,,,
69778,3,0 - 40,First Play,,
69779,4,15 - 40,First Play,,
69780,5,30 - 40,First Play,,
69781,1,0 - 15,,,
69782,2,0 - 30,,,
69783,3,0 - 40,,,
69784,4,15 - 40,,,
69785,5,30 - 40,,,
69786,6,40 - 40,,,
69787,7,40 - A,,,
69788,8,40 - 40,,,
69789,9,40 - A,,,
69790,1,15 - 0,,,
69791,2,30 - 0,,,
69792,3,40 - 0,,,
69793,1,0 - 15,,,
69794,2,0 - 30,,,
69795,3,0 - 40,,,
69796,4,15 - 40,,,
69797,1,0 - 15,,,
69798,2,15 - 15,,,
69799,3,15 - 30,,,
69800,4,30 - 30,,,
69801,5,30 - 40,First Play,,
69802,1,0 - 15,,,
69803,2,0 - 30,,,
69804,3,0 - 40,,,
69805,1,15 - 0,,,
69806,2,15 - 15,,,
69807,3,15 - 30,,,
69808,4,30 - 30,,,
69809,5,30 - 40,First Play,,
69810,1,0 - 15,,,
69811,2,0 - 30,,,
69812,3,15 - 30,,,
69813,4,15 - 40,,,
69814,1,15 - 0,,,
69815,2,30 - 0,,,
69816,3,40 - 0,,,
69817,4,40 - 15,,,
69818,1,15 - 0,,,
69819,2,15 - 15,,,
69820,3,15 - 30,,,
69821,4,15 - 40,,,
69822,1,0 - 15,,,
69823,2,15 - 15,,,
69824,3,30 - 15,,,
69825,4,40 - 15,,,
69826,1,0 - 15,,,
69827,2,0 - 30,,,
69828,3,0 - 40,,,
69829,4,15 - 40,,,
69830,1,15 - 0,,,
69831,2,15 - 15,,,
69832,3,30 - 15,,,
69833,4,30 - 30,,,
69834,5,30 - 40,First Play,,
69835,6,40 - 40,,,
69836,7,A - 40,,,
69837,1,15 - 0,,,
69838,2,30 - 0,,,
69839,3,40 - 0,First Play,,
69840,1,0 - 15,,,
69841,2,0 - 30,,,
69842,3,15 - 30,,,
69843,4,15 - 40,First Play,,
69844,5,30 - 40,First Play,,
69845,6,40 - 40,,,
69846,7,A - 40,,,
69847,1,15 - 0,,,
69848,2,30 - 0,,,
69849,3,40 - 0,First Play,,
69850,4,40 - 15,First Play,,
69851,1,15 - 0,,,
69852,2,15 - 15,,,
69853,3,30 - 15,,,
69854,4,40 - 15,,,
69855,1,0 - 15,,,
69856,2,15 - 15,,,
69857,3,30 - 15,,,
69858,4,30 - 30,,,
69859,5,30 - 40,,,
69860,6,40 - 40,,,
69861,7,40 - A,,,
69862,8,40 - 40,,,
69863,9,A - 40,First Play,,
69864,1,15 - 0,,,
69865,2,15 - 15,,,
69866,3,15 - 30,,,
69867,4,15 - 40,First Play,,
69868,5,30 - 40,First Play,,
69869,1,15 - 0,,,
69870,2,30 - 0,,,
69871,3,40 - 0,First Play,,
69872,4,40 - 15,First Play,,
69873,5,40 - 30,First Play,,
69874,1,0 - 15,,,
69875,2,15 - 15,,,
69876,3,30 - 15,,,
69877,4,40 - 15,,,
69878,5,40 - 30,,,
69879,6,40 - 40,,,
69880,7,A - 40,,,
69881,1,0 - 15,,,
69882,2,0 - 30,,,
69883,3,15 - 30,,,
69884,4,30 - 30,,,
69885,5,30 - 40,,,
69886,1,15 - 0,,,
69887,2,30 - 0,,,
69888,3,40 - 0,,,
69889,1,0 - 15,,,
69890,2,15 - 15,,,
69891,3,30 - 15,,,
69892,4,30 - 30,,,
69893,5,40 - 30,First Play,,
69894,6,40 - 40,,,
69895,7,A - 40,First Play,,
69896,8,40 - 40,,,
69897,9,A - 40,First Play,,
69898,1,15 - 0,,,
69899,2,30 - 0,,,
69900,3,40 - 0,,First Play,First Play
69901,1,0 - 15,,,
69902,2,15 - 15,,,
69903,3,30 - 15,,,
69904,4,40 - 15,,,
69905,1,15 - 0,,,
69906,2,15 - 15,,,
69907,3,30 - 15,,,
69908,4,40 - 15,First Play,,
69909,1,15 - 0,,,
69910,2,30 - 0,,,
69911,3,40 - 0,,,
69912,1,0 - 15,,,
69913,2,0 - 30,,,
69914,3,15 - 30,,,
69915,4,15 - 40,,,
69916,5,30 - 40,,,
69917,1,15 - 0,,,
69918,2,30 - 0,,,
69919,3,40 - 0,,,
69920,1,0 - 15,,,
69921,2,0 - 30,,,
69922,3,0 - 40,,,
69923,1,15 - 0,,,
69924,2,30 - 0,,,
69925,3,40 - 0,,,
69926,4,40 - 15,,,
69927,1,15 - 0,,,
69928,2,15 - 15,,,
69929,3,30 - 15,,,
69930,4,30 - 30,,,
69931,5,40 - 30,First Play,,
69932,6,40 - 40,,,
69933,7,40 - A,,,
69934,8,40 - 40,,,
69935,9,A - 40,First Play,,
69936,10,40 - 40,,,
69937,11,40 - A,,,
69938,12,40 - 40,,,
69939,13,40 - A,,,
69940,1,15 - 0,,,
69941,2,15 - 15,,,
69942,3,30 - 15,,,
69943,4,40 - 15,,,
69944,1,0 - 15,,,
69945,2,0 - 30,,,
69946,3,0 - 40,,,
69947,1,15 - 0,,,
69948,2,30 - 0,,,
69949,3,40 - 0,,,
69950,1,0 - 15,,,
69951,2,0 - 30,,,
69952,3,15 - 30,,,
69953,4,15 - 40,,,
69954,1,0 - 15,,,
69955,2,15 - 15,,,
69956,3,30 - 15,,,
69957,4,40 - 15,,,
69958,5,40 - 30,,,
69959,1,0 - 15,,,
69960,2,15 - 15,,,
69961,3,15 - 30,,,
69962,4,30 - 30,,,
69963,5,30 - 40,,,
69964,1,15 - 0,,,
69965,2,15 - 15,,,
69966,3,30 - 15,,,
69967,4,30 - 30,,,
69968,5,40 - 30,,,
69969,1,0 - 15,,,
69970,2,15 - 15,,,
69971,3,30 - 15,,,
69972,4,30 - 30,,,
69973,5,30 - 40,,,
69974,1,15 - 0,,,
69975,2,30 - 0,,,
69976,3,40 - 0,,,
69977,4,40 - 15,,,
69978,1,15 - 0,,,
69979,2,15 - 15,,,
69980,3,15 - 30,,,
69981,4,30 - 30,,,
69982,5,40 - 30,First Play,,
69983,6,40 - 40,,,
69984,7,A - 40,First Play,,
69985,8,40 - 40,,,
69986,9,40 - A,,,
69987,1,15 - 0,,,
69988,2,30 - 0,,,
69989,3,30 - 15,,,
69990,4,40 - 15,,,
69991,1,0 - 15,,,
69992,2,0 - 30,,,
69993,3,15 - 30,,,
69994,4,15 - 40,,,
69995,5,30 - 40,,,
69996,1,15 - 0,,,
69997,2,15 - 15,,,
69998,3,30 - 15,,,
69999,4,40 - 15,,,
70000,1, - ,,,
70001,1,15 - 0,,,
70002,2,15 - 15,,,
70003,3,30 - 15,,,
70004,4,40 - 15,,,
70005,1,15 - 0,,,
70006,2,15 - 15,,,
70007,3,15 - 30,,,
70008,4,15 - 40,,,
70009,1,0 - 15,,,
70010,2,15 - 15,,,
70011,3,15 - 30,,,
70012,4,15 - 40,First Play,,
70013,5,30 - 40,First Play,,
70014,6,40 - 40,,,
70015,7,40 - A,First Play,,
70016,8,40 - 40,,,
70017,9,40 - A,First Play,,
70018,10,40 - 40,,,
70019,11,A - 40,,,
70020,1,0 - 15,,,
70021,2,15 - 15,,,
70022,3,15 - 30,,,
70023,4,15 - 40,,,
70024,1,15 - 0,,,
70025,2,30 - 0,,,
70026,3,40 - 0,,,
70027,1,0 - 15,,,
70028,2,15 - 15,,,
70029,3,15 - 30,,,
70030,4,15 - 40,,,
70031,1,15 - 0,,,
70032,2,30 - 0,,,
70033,3,40 - 0,,,
70034,1,0 - 15,,,
70035,2,0 - 30,,,
70036,3,0 - 40,,,
70037,1,15 - 0,,,
70038,2,30 - 0,,,
70039,3,40 - 0,,,
70040,1,0 - 15,,,
70041,2,0 - 30,,,
70042,3,0 - 40,,,
70043,1,0 - 15,,,
70044,2,15 - 15,,,
70045,3,30 - 15,,,
70046,4,40 - 15,,,
70047,1,0 - 15,,,
70048,2,0 - 30,,,
70049,3,0 - 40,,,
70050,1, - ,,,
70051,1,15 - 0,,,
70052,2,30 - 0,,,
70053,3,40 - 0,First Play,,
70054,1,15 - 0,,,
70055,2,30 - 0,,,
70056,3,40 - 0,,,
70057,4,40 - 15,,,
70058,5,40 - 30,,,
70059,1,0 - 15,,,
70060,2,15 - 15,,,
70061,3,15 - 30,,,
70062,4,15 - 40,,,
70063,1,15 - 0,,,
70064,2,15 - 15,,,
70065,3,15 - 30,,,
70066,4,15 - 40,First Play,,
70067,1,0 - 15,,,
70068,2,15 - 15,,,
70069,3,30 - 15,,,
70070,4,40 - 15,First Play,,
70071,5,40 - 30,First Play,,
70072,1,15 - 0,,,
70073,2,30 - 0,,,
70074,3,40 - 0,,,
70075,1,0 - 15,,,
70076,2,0 - 30,,,
70077,3,15 - 30,,,
70078,4,30 - 30,,,
70079,5,30 - 40,,,
70080,6,40 - 40,,,
70081,7,A - 40,First Play,,
70082,8,40 - 40,,,
70083,9,A - 40,First Play,,
70084,1,0 - 15,,,
70085,2,0 - 30,,,
70086,3,15 - 30,,,
70087,4,30 - 30,,,
70088,5,40 - 30,,,
70089,1,15 - 0,,,
70090,2,30 - 0,,,
70091,3,40 - 0,First Play,,
70092,1,0 - 15,,,
70093,2,15 - 15,,,
70094,3,30 - 15,,,
70095,4,40 - 15,,,
70096,1,15 - 0,,,
70097,2,15 - 15,,,
70098,3,15 - 30,,,
70099,4,15 - 40,,,
70100,1,15 - 0,,,
70101,2,15 - 15,,,
70102,3,30 - 15,,,
70103,4,40 - 15,,,
70104,1,15 - 0,,,
70105,2,30 - 0,,,
70106,3,40 - 0,First Play,,
70107,4,40 - 15,First Play,,
70108,1,0 - 15,,,
70109,2,15 - 15,,,
70110,3,15 - 30,,,
70111,4,30 - 30,,,
70112,5,30 - 40,First Play,,
70113,6,40 - 40,,,
70114,7,A - 40,,,
70115,1,0 - 15,,,
70116,2,15 - 15,,,
70117,3,30 - 15,,,
70118,4,30 - 30,,,
70119,5,40 - 30,First Play,First Play,First Play
70120,6,40 - 40,,,
70121,7,40 - A,,,
70122,8,40 - 40,,,
70123,9,A - 40,First Play,First Play,First Play
70124,1,0 - 15,,,
70125,2,0 - 30,,,
70126,3,0 - 40,,,
70127,4,15 - 40,,,
70128,5,30 - 40,,,
70129,1,15 - 0,,,
70130,2,30 - 0,,,
70131,3,30 - 15,,,
70132,4,40 - 15,,,
70133,1,0 - 15,,,
70134,2,15 - 15,,,
70135,3,15 - 30,,,
70136,4,15 - 40,,,
70137,1,0 - 15,,,
70138,2,0 - 30,,,
70139,3,15 - 30,,,
70140,4,15 - 40,First Play,,
70141,1,0 - 15,,,
70142,2,0 - 30,,,
70143,3,0 - 40,,,
70144,4,15 - 40,,,
70145,1,15 - 0,,,
70146,2,15 - 15,,,
70147,3,30 - 15,,,
70148,4,30 - 30,,,
70149,5,30 - 40,First Play,,
70150,1,0 - 15,,,
70151,2,0 - 30,,,
70152,3,0 - 40,,,
70153,1,15 - 0,,,
70154,2,15 - 15,,,
70155,3,15 - 30,,,
70156,4,30 - 30,,,
70157,5,30 - 40,First Play,,
70158,6,40 - 40,,,
70159,7,40 - A,First Play,,
70160,1,0 - 15,,,
70161,2,15 - 15,,,
70162,3,15 - 30,,,
70163,4,30 - 30,,,
70164,5,30 - 40,,,
70165,1,0 - 15,,,
70166,2,0 - 30,,,
70167,3,0 - 40,First Play,,
70168,1,0 - 15,,,
70169,2,0 - 30,,,
70170,3,0 - 40,,,
70171,1,15 - 0,,,
70172,2,15 - 15,,,
70173,3,15 - 30,,,
70174,4,15 - 40,First Play,,
70175,5,30 - 40,First Play,,
70176,1,0 - 15,,,
70177,2,15 - 15,,,
70178,3,30 - 15,,,
70179,4,30 - 30,,,
70180,5,40 - 30,First Play,,
70181,6,40 - 40,,,
70182,7,40 - A,,First Play,First Play
70183,1,0 - 15,,,
70184,2,15 - 15,,,
70185,3,30 - 15,,,
70186,4,40 - 15,First Play,,
70187,5,40 - 30,First Play,,
70188,1,15 - 0,,,
70189,2,30 - 0,,,
70190,3,40 - 0,,,
70191,1,0 - 15,,,
70192,2,15 - 15,,,
70193,3,15 - 30,,,
70194,4,15 - 40,,,
70195,1,0 - 15,,,
70196,2,15 - 15,,,
70197,3,30 - 15,,,
70198,4,30 - 30,,,
70199,5,40 - 30,,,
70200,1,0 - 15,,,
70201,2,15 - 15,,,
70202,3,15 - 30,,,
70203,4,15 - 40,,,
70204,5,30 - 40,,,
70205,1,15 - 0,,,
70206,2,30 - 0,,,
70207,3,30 - 15,,,
70208,4,30 - 30,,,
70209,5,40 - 30,,,
70210,6,40 - 40,,,
70211,7,A - 40,,,
70212,1,15 - 0,,,
70213,2,30 - 0,,,
70214,3,40 - 0,First Play,,
70215,4,40 - 15,First Play,,
70216,5,40 - 30,First Play,,
70217,1,15 - 0,,,
70218,2,30 - 0,,,
70219,3,40 - 0,,,
70220,1,0 - 15,,,
70221,2,0 - 30,,,
70222,3,0 - 40,,,
70223,1,15 - 0,,,
70224,2,15 - 15,,,
70225,3,15 - 30,,,
70226,4,30 - 30,,,
70227,5,40 - 30,,,
70228,6,40 - 40,,,
70229,7,A - 40,,,
70230,1,0 - 15,,,
70231,2,0 - 30,,,
70232,3,0 - 40,,,
70233,4,15 - 40,,,
70234,1,15 - 0,,,
70235,2,30 - 0,,,
70236,3,40 - 0,,,
70237,1,0 - 15,,,
70238,2,0 - 30,,,
70239,3,0 - 40,,,
70240,1,15 - 0,,,
70241,2,15 - 15,,,
70242,3,30 - 15,,,
70243,4,30 - 30,,,
70244,5,40 - 30,,,
70245,1,15 - 0,,,
70246,2,15 - 15,,,
70247,3,30 - 15,,,
70248,4,30 - 30,,,
70249,5,30 - 40,,,
70250,6,40 - 40,,,
70251,7,40 - A,,,
70252,1,0 - 15,,,
70253,2,15 - 15,,,
70254,3,15 - 30,,,
70255,4,15 - 40,First Play,,
70256,1,0 - 15,,,
70257,2,0 - 30,,,
70258,3,0 - 40,,,
70259,1,15 - 0,,,
70260,2,30 - 0,,,
70261,3,40 - 0,,,
70262,1,0 - 15,,,
70263,2,15 - 15,,,
70264,3,15 - 30,,,
70265,4,30 - 30,,,
70266,5,30 - 40,,,
70267,1,0 - 15,,,
70268,2,15 - 15,,,
70269,3,15 - 30,,,
70270,4,15 - 40,First Play,,
70271,5,30 - 40,First Play,,
70272,6,40 - 40,,,
70273,7,A - 40,,,
70274,1,0 - 15,,,
70275,2,0 - 30,,,
70276,3,0 - 40,,,
70277,1,15 - 0,,,
70278,2,30 - 0,,,
70279,3,40 - 0,,,
70280,1,0 - 15,,,
70281,2,0 - 30,,,
70282,3,0 - 40,,,
70283,1,15 - 0,,,
70284,2,30 - 0,,,
70285,3,30 - 15,,,
70286,4,40 - 15,,,
70287,5,40 - 30,,,
70288,1,0 - 15,,,
70289,2,0 - 30,,,
70290,3,15 - 30,,,
70291,4,15 - 40,,,
70292,5,30 - 40,,,
70293,1,15 - 0,,,
70294,2,15 - 15,,,
70295,3,30 - 15,,,
70296,4,40 - 15,,,
70297,1,0 - 15,,,
70298,2,0 - 30,,,
70299,3,0 - 40,,,
70300,4,15 - 40,,,
70301,5,30 - 40,,,
70302,1,15 - 0,,,
70303,2,15 - 15,,,
70304,3,30 - 15,,,
70305,4,40 - 15,,,
70306,5,40 - 30,,,
70307,1,15 - 0,,,
70308,2,15 - 15,,,
70309,3,30 - 15,,,
70310,4,30 - 30,,,
70311,5,30 - 40,,,
70312,6,40 - 40,,,
70313,7,40 - A,,,
70314,8,40 - 40,,,
70315,9,40 - A,,,
70316,1, - ,,,
70317,1,15 - 0,,,
70318,2,30 - 0,,,
70319,3,30 - 15,,,
70320,4,30 - 30,,,
70321,5,40 - 30,First Play,,
70322,6,40 - 40,,,
70323,7,A - 40,First Play,,
70324,8,40 - 40,,,
70325,9,40 - A,,,
70326,1,0 - 15,,,
70327,2,15 - 15,,,
70328,3,15 - 30,,,
70329,4,15 - 40,First Play,,
70330,1,15 - 0,,,
70331,2,15 - 15,,,
70332,3,30 - 15,,,
70333,4,40 - 15,First Play,,
70334,5,40 - 30,First Play,,
70335,1,15 - 0,,,
70336,2,15 - 15,,,
70337,3,30 - 15,,,
70338,4,30 - 30,,,
70339,5,40 - 30,,,
70340,1,0 - 15,,,
70341,2,0 - 30,,,
70342,3,0 - 40,,,
70343,1,15 - 0,,,
70344,2,30 - 0,,,
70345,3,40 - 0,,,
70346,1,15 - 0,,,
70347,2,30 - 0,,,
70348,3,30 - 15,,,
70349,4,30 - 30,,,
70350,5,30 - 40,,,
70351,6,40 - 40,,,
70352,7,40 - A,,,
70353,1,15 - 0,,,
70354,2,15 - 15,,,
70355,3,30 - 15,,,
70356,4,40 - 15,,,
70357,1,0 - 15,,,
70358,2,0 - 30,,,
70359,3,0 - 40,,,
70360,4,15 - 40,,,
70361,1,15 - 0,,,
70362,2,30 - 0,,,
70363,3,40 - 0,,,
70364,4,40 - 15,,,
70365,5,40 - 30,,,
70366,6,40 - 40,,,
70367,7,40 - A,First Play,,
70368,1,0 - 15,,,
70369,2,0 - 30,,,
70370,3,15 - 30,,,
70371,4,15 - 40,,,
70372,5,30 - 40,,,
70373,1,15 - 0,,,
70374,2,30 - 0,,,
70375,3,30 - 15,,,
70376,4,40 - 15,,,
70377,5,40 - 30,,,
70378,1,0 - 15,,,
70379,2,15 - 15,,,
70380,3,30 - 15,,,
70381,4,40 - 15,First Play,,
70382,5,40 - 30,First Play,,
70383,6,40 - 40,,,
70384,7,40 - A,,,
70385,1,0 - 15,,,
70386,2,15 - 15,,,
70387,3,15 - 30,,,
70388,4,30 - 30,,,
70389,5,40 - 30,,,
70390,6,40 - 40,,,
70391,7,A - 40,,,
70392,8,40 - 40,,,
70393,9,40 - A,First Play,,
70394,1,0 - 15,,,
70395,2,0 - 30,,,
70396,3,0 - 40,,,
70397,4,15 - 40,,,
70398,1,15 - 0,,,
70399,2,15 - 15,,,
70400,3,30 - 15,,,
70401,4,40 - 15,,,
70402,5,40 - 30,,,
70403,6,40 - 40,,,
70404,7,40 - A,First Play,,
70405,1,0 - 15,,,
70406,2,15 - 15,,,
70407,3,30 - 15,,,
70408,4,30 - 30,,,
70409,5,30 - 40,,First Play,First Play
70410,6,40 - 40,,,
70411,7,40 - A,,First Play,First Play
70412,1,0 - 15,,,
70413,2,0 - 30,,,
70414,3,0 - 40,,,
70415,1,15 - 0,,,
70416,2,30 - 0,,,
70417,3,40 - 0,,,
70418,4,40 - 15,,,
70419,5,40 - 30,,,
70420,6,40 - 40,,,
70421,7,A - 40,,,
70422,1,0 - 15,,,
70423,2,15 - 15,,,
70424,3,15 - 30,,,
70425,4,15 - 40,,,
70426,1,0 - 15,,,
70427,2,0 - 30,,,
70428,3,15 - 30,,,
70429,4,15 - 40,First Play,,
70430,1,15 - 0,,,
70431,2,15 - 15,,,
70432,3,15 - 30,,,
70433,4,15 - 40,,,
70434,1,15 - 0,,,
70435,2,30 - 0,,,
70436,3,40 - 0,,,
70437,1,0 - 15,,,
70438,2,0 - 30,,,
70439,3,0 - 40,,,
70440,1,15 - 0,,,
70441,2,30 - 0,,,
70442,3,30 - 15,,,
70443,4,30 - 30,,,
70444,5,30 - 40,First Play,,
70445,6,40 - 40,,,
70446,7,40 - A,First Play,,
70447,8,40 - 40,,,
70448,9,A - 40,,,
70449,10,40 - 40,,,
70450,11,A - 40,,,
70451,12,40 - 40,,,
70452,13,A - 40,,,
70453,1,0 - 15,,,
70454,2,0 - 30,,,
70455,3,0 - 40,,,
70456,1,0 - 15,,,
70457,2,0 - 30,,,
70458,3,0 - 40,First Play,,
70459,4,15 - 40,First Play,,
70460,1,0 - 15,,,
70461,2,15 - 15,,,
70462,3,15 - 30,,,
70463,4,15 - 40,,,
70464,1,0 - 15,,,
70465,2,0 - 30,,,
70466,3,15 - 30,,,
70467,4,15 - 40,First Play,,
70468,1,15 - 0,,,
70469,2,15 - 15,,,
70470,3,30 - 15,,,
70471,4,40 - 15,First Play,,
70472,5,40 - 30,First Play,,
70473,6,40 - 40,,,
70474,7,40 - A,,,
70475,1,15 - 0,,,
70476,2,30 - 0,,,
70477,3,40 - 0,,,
70478,4,40 - 15,,,
70479,5,40 - 30,,,
70480,6,40 - 40,,,
70481,7,A - 40,,,
70482,1,15 - 0,,,
70483,2,30 - 0,,,
70484,3,40 - 0,First Play,,
70485,4,40 - 15,First Play,,
70486,5,40 - 30,First Play,,
70487,6,40 - 40,,,
70488,7,40 - A,,,
70489,1,0 - 15,,,
70490,2,15 - 15,,,
70491,3,30 - 15,,,
70492,4,40 - 15,,,
70493,1,15 - 0,,,
70494,2,30 - 0,,,
70495,3,40 - 0,First Play,,
70496,4,40 - 15,First Play,,
70497,5,40 - 30,First Play,,
70498,1,15 - 0,,,
70499,2,30 - 0,,,
70500,3,40 - 0,,,
70501,1,0 - 15,,,
70502,2,0 - 30,,,
70503,3,0 - 40,,,
70504,1,15 - 0,,,
70505,2,15 - 15,,,
70506,3,30 - 15,,,
70507,4,40 - 15,,,
70508,1,0 - 15,,,
70509,2,0 - 30,,,
70510,3,15 - 30,,,
70511,4,30 - 30,,,
70512,5,30 - 40,,,
70513,1,0 - 15,,,
70514,2,15 - 15,,,
70515,3,30 - 15,,,
70516,4,40 - 15,,,
70517,5,40 - 30,,,
70518,1,15 - 0,,,
70519,2,15 - 15,,,
70520,3,15 - 30,,,
70521,4,30 - 30,,,
70522,5,30 - 40,,,
70523,1,15 - 0,,,
70524,2,15 - 15,,,
70525,3,30 - 15,,,
70526,4,40 - 15,,,
70527,5,40 - 30,,,
70528,6,40 - 40,,,
70529,7,A - 40,,,
70530,8,40 - 40,,,
70531,9,A - 40,,,
70532,1,15 - 0,,,
70533,2,15 - 15,,,
70534,3,15 - 30,,,
70535,4,15 - 40,,,
70536,1,15 - 0,,,
70537,2,15 - 15,,,
70538,3,30 - 15,,,
70539,4,30 - 30,,,
70540,5,40 - 30,,,
70541,6,40 - 40,,,
70542,7,40 - A,First Play,,
70543,8,40 - 40,,,
70544,9,A - 40,,,
70545,1,0 - 15,,,
70546,2,0 - 30,,,
70547,3,0 - 40,,,
70548,1,15 - 0,,,
70549,2,30 - 0,,,
70550,3,40 - 0,,,
70551,1,15 - 0,,,
70552,2,15 - 15,,,
70553,3,15 - 30,,,
70554,4,15 - 40,,,
70555,1,15 - 0,,,
70556,2,15 - 15,,,
70557,3,30 - 15,,,
70558,4,40 - 15,,,
70559,1,0 - 15,,,
70560,2,0 - 30,,,
70561,3,0 - 40,,,
70562,1,0 - 15,,,
70563,2,15 - 15,,,
70564,3,30 - 15,,,
70565,4,40 - 15,,,
70566,5,40 - 30,,,
70567,1,0 - 15,,,
70568,2,0 - 30,,,
70569,3,15 - 30,,,
70570,4,30 - 30,,,
70571,5,30 - 40,,,
70572,1,15 - 0,,,
70573,2,15 - 15,,,
70574,3,15 - 30,,,
70575,4,15 - 40,First Play,,
70576,5,30 - 40,First Play,,
70577,1,0 - 15,,,
70578,2,0 - 30,,,
70579,3,0 - 40,,,
70580,1,15 - 0,,,
70581,2,15 - 15,,,
70582,3,30 - 15,,,
