point_id,number_point,score,break_point,set_point,match_point
436,1,0 - 15,,,
437,2,0 - 30,,,
438,3,15 - 30,,,
439,4,15 - 40,First Play,,
440,1,0 - 15,,,
441,2,0 - 30,,,
442,3,15 - 30,,,
443,4,30 - 30,,,
444,5,30 - 40,,,
445,1,15 - 0,,,
446,2,15 - 15,,,
447,3,30 - 15,,,
448,4,30 - 30,,,
449,5,30 - 40,First Play,,
450,1,0 - 15,,,
451,2,15 - 15,,,
452,3,15 - 30,,,
453,4,15 - 40,,,
454,1,15 - 0,,,
455,2,30 - 0,,,
456,3,40 - 0,,,
457,4,40 - 15,,,
458,5,40 - 30,,,
459,1,15 - 0,,,
460,2,30 - 0,,,
461,3,40 - 0,First Play,,
462,4,40 - 15,First Play,,
463,5,40 - 30,First Play,,
464,1,15 - 0,,,
465,2,15 - 15,,,
466,3,30 - 15,,,
467,4,40 - 15,,,
468,1,0 - 15,,,
469,2,0 - 30,,,
470,3,0 - 40,,,
471,1,0 - 15,,,
472,2,0 - 30,,,
473,3,0 - 40,First Play,,
474,4,15 - 40,First Play,,
475,5,30 - 40,First Play,,
476,6,40 - 40,,,
477,7,A - 40,,,
478,8,40 - 40,,,
479,9,40 - A,First Play,,
480,10,40 - 40,,,
481,11,40 - A,First Play,,
482,1,15 - 0,,,
483,2,30 - 0,,,
484,3,40 - 0,First Play,,
485,4,40 - 15,First Play,,
486,1,15 - 0,,,
487,2,30 - 0,,,
488,3,30 - 15,,,
489,4,40 - 15,,,
490,5,40 - 30,,,
491,1,0 - 15,,,
492,2,15 - 15,,,
493,3,15 - 30,,,
494,4,30 - 30,,,
495,5,30 - 40,,,
496,6,40 - 40,,,
497,7,A - 40,First Play,,
498,8,40 - 40,,,
499,9,A - 40,First Play,,
500,10,40 - 40,,,
501,11,40 - A,,,
502,12,40 - 40,,,
503,13,40 - A,,,
504,1,15 - 0,,,
505,2,30 - 0,,,
506,3,40 - 0,,,
507,4,40 - 15,,,
508,5,40 - 30,,,
509,6,40 - 40,,,
510,7,A - 40,,,
511,8,40 - 40,,,
512,9,A - 40,,,
513,10,40 - 40,,,
514,11,40 - A,First Play,,
515,1,15 - 0,,,
516,2,30 - 0,,,
517,3,30 - 15,,,
518,4,40 - 15,First Play,,
519,5,40 - 30,First Play,,
520,1, - ,,,
521,1,0 - 15,,,
522,2,0 - 30,,,
523,3,0 - 40,,,
524,1,0 - 15,,,
525,2,0 - 30,,,
526,3,0 - 40,First Play,,
527,4,15 - 40,First Play,,
528,1,15 - 0,,,
